#TYPE Selected.Microsoft.WinGet.Client.Engine.PSObjects.PSInstalledCatalogPackage
"Name","Id"
"7-Zip","7zip.7zip"
"Notepad++","Notepad++.Notepad++"
"AMD Software","ARP\Machine\X64\AMD Catalyst Install Manager"
"Mozilla Firefox (en-US)","Mozilla.Firefox"
"Mozilla Firefox (x64 en-US)","ARP\Machine\X64\Mozilla Firefox"
"WinCompose","SamHocevar.WinCompose"
"Microsoft 365 Apps for enterprise","Microsoft.Office"
"Microsoft 365-apps voor ondernemingen - nl-nl","ARP\Machine\X64\O365ProPlusRetail - nl-nl"
"PDF-XChange Editor","TrackerSoftware.PDF-XChangeEditor"
"Safe Exam Browser","ETHZurich.SafeExamBrowser"
"Google Chrome","Google.Chrome"
"Microsoft Update Health Tools","ARP\Machine\X64\{C6FD611E-7EFE-488C-A0E0-974C09EF6473}"
"Microsoft Edge","Microsoft.Edge"
"Realspeak Belgian Dutch","ARP\Machine\X86\RS4_Dub_is1"
"Realspeak British English","ARP\Machine\X86\RS4_Eng_is1"
"Realspeak French","ARP\Machine\X86\RS4_Frf_is1"
"Realspeak German","ARP\Machine\X86\RS4_Ged_is1"
"Microsoft Visual C++ v14 Redistributable (x86)","Microsoft.VCRedist.2015+.x86"
"Microsoft Intune Management Extension","ARP\Machine\X86\{4E28B4C2-BF17-4C61-B77B-B1673C292021}"
"classroom.cloud Student","ARP\Machine\X86\{4F1C9133-7549-41CA-A313-9A8A2EE088A8}"
"Sprint 2","ARP\Machine\X86\{50E6F022-0EDD-4EAF-BD1A-76C0E0EFE1AE}_is1"
"FineReader for Sprint","ARP\Machine\X86\{CEC72A7C-6CD4-43C0-935C-AFE4F9880743}_is1"
"GeoGebra Classic 5","GeoGebra.Classic.5"
"Microsoft Visual C++ v14 Redistributable (x64)","Microsoft.VCRedist.2015+.x64"
"HP Programmable Key","MSIX\AD2F1837.HPProgrammableKey_1.0.17.0_x64__v10z8vjag6ke6"
"HP Support Assistant","MSIX\AD2F1837.HPSupportAssistant_9.51.14.0_x64__v10z8vjag6ke6"
"HP System Information","MSIX\AD2F1837.HPSystemInformation_8.10.49.0_x64__v10z8vjag6ke6"
"AMD Radeon Software","MSIX\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.23.19012.0_x64__0a9344xs7nr4m"
"Microsoft Clipchamp","MSIX\Clipchamp.Clipchamp_4.5.10220.0_x64__yxz26nhyzhsrt"
"Microsoft Teams","Microsoft.Teams"
"AV1 Video Extension","MSIX\Microsoft.AV1VideoExtension_2.0.7.0_x64__8wekyb3d8bbwe"
"Video-extensie voor AVC-encoder","MSIX\Microsoft.AVCEncoderVideoExtension_1.1.23.0_x64__8wekyb3d8bbwe"
"Compatibiliteitsverbeteringen voor Windows-toepassingen","MSIX\Microsoft.ApplicationCompatibilityEnhancements_1.2511.9.0_x64__8wekyb3d8bbwe"
"Nieuws","MSIX\Microsoft.BingNews_4.56.242.0_x64__8wekyb3d8bbwe"
"Microsoft Bing","MSIX\Microsoft.BingSearch_1.1.43.0_x64__8wekyb3d8bbwe"
"MSN weer","MSIX\Microsoft.BingWeather_4.54.63029.0_x64__8wekyb3d8bbwe"
"App Installer","Microsoft.AppInstaller"
"Microsoft Edge Spelassistent","MSIX\Microsoft.Edge.GameAssist_1.0.3590.0_x64__8wekyb3d8bbwe"
"Hulp vragen","MSIX\Microsoft.GetHelp_10.2409.33293.0_x64__8wekyb3d8bbwe"
"Uitbreiding voor HEIF-afbeeldingen","MSIX\Microsoft.HEIFImageExtension_1.2.29.0_x64__8wekyb3d8bbwe"
"Local Experience-pakket voor Nederlands","MSIX\Microsoft.LanguageExperiencePacknl-NL_26100.148.244.0_neutral__8wekyb3d8bbwe"
"Microsoft 365 companion apps","MSIX\Microsoft.M365Companions_2.2510.22000.0_x64__8wekyb3d8bbwe"
"Uitbreiding voor MPEG-2-video","MSIX\Microsoft.MPEG2VideoExtension_1.2.13.0_x64__8wekyb3d8bbwe"
"Microsoft Edge","MSIX\Microsoft.MicrosoftEdge.Stable_140.0.3485.81_neutral__8wekyb3d8bbwe"
"Solitaire & Casual Games","MSIX\Microsoft.MicrosoftSolitaireCollection_4.25.1130.0_x64__8wekyb3d8bbwe"
"Microsoft Plaknotities","MSIX\Microsoft.MicrosoftStickyNotes_6.1.4.0_x64__8wekyb3d8bbwe"
"Mixed Reality-portal","MSIX\Microsoft.MixedReality.Portal_2000.21051.1282.0_x64__8wekyb3d8bbwe"
"Microsoft .Net Native Framework Package 1.3","MSIX\Microsoft.NET.Native.Framework.1.3_1.3.24211.0_x64__8wekyb3d8bbwe"
"Microsoft .Net Native Framework Package 1.3","MSIX\Microsoft.NET.Native.Framework.1.3_1.3.24211.0_x86__8wekyb3d8bbwe"
