#TYPE Selected.Microsoft.WinGet.Client.Engine.PSObjects.PSInstalledCatalogPackage
"Name","Id"
"Audacity","Audacity.Audacity"
"Mozilla Firefox (nl)","Mozilla.Firefox.nl"
"Mozilla Maintenance Service","ARP\Machine\X64\MozillaMaintenanceService"
"Microsoft 365 Apps for enterprise","Microsoft.Office"
"Microsoft 365-apps voor ondernemingen - nl-nl","ARP\Machine\X64\O365ProPlusRetail - nl-nl"
"Microsoft OneDrive","Microsoft.OneDrive"
"VLC media player","VideoLAN.VLC"
"WinRAR","RARLab.WinRAR"
"Safe Exam Browser","ETHZurich.SafeExamBrowser"
"Eclipse Temurin JRE with Hotspot 8","EclipseAdoptium.Temurin.8.JRE"
"Microsoft Silverlight","ARP\Machine\X64\{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00}"
"Google Earth Pro","Google.EarthPro"
"paint.net","dotPDN.PaintDotNet"
"Microsoft Teams Meeting Add-in for Microsoft Office","ARP\Machine\X64\{A7AB73A3-CB10-4AA5-9D38-6AEFFBDE4C91}"
"Adobe Acrobat Reader (64-bit)","Adobe.Acrobat.Reader.64-bit"
"Google Chrome","Google.Chrome"
"Microsoft Update Health Tools","ARP\Machine\X64\{C6FD611E-7EFE-488C-A0E0-974C09EF6473}"
"Windows Pc-statuscontrole","ARP\Machine\X64\{D1F16371-7951-41EB-A367-507D779F1E64}"
"Update for x64-based Windows Systems (KB5001716)","ARP\Machine\X64\{DA80A019-4C3B-4DAA-ACA1-6937D7CAAF9E}"
"Eclipse Temurin JRE with Hotspot 11","EclipseAdoptium.Temurin.11.JRE"
"Adobe AIR","HARMAN.AdobeAIR"
"GeoGebra Classic 5","GeoGebra.Classic.5"
"Inkscape","Inkscape.Inkscape"
"IrfanView","IrfanSkiljan.IrfanView"
"K-Lite Codec Pack Full","CodecGuide.K-LiteCodecPack.Full"
"Realspeak Belgian Dutch","ARP\Machine\X86\RS4_Dub_is1"
"Realspeak British English","ARP\Machine\X86\RS4_Eng_is1"
"Realspeak French","ARP\Machine\X86\RS4_Frf_is1"
"Realspeak German","ARP\Machine\X86\RS4_Ged_is1"
"Windows 11 Installation Assistant","Microsoft.WindowsInstallationAssistant"
"Microsoft Visual C++ v14 Redistributable (x86)","Microsoft.VCRedist.2015+.x86"
"PDF-XChange Editor","ARP\Machine\X86\{21177007-de9c-4f5b-84c9-151f690f72a0}"
"Microsoft Visual C++ v14 Redistributable (x64)","Microsoft.VCRedist.2015+.x64"
"Graphmatica","kSoft.Graphmatica"
"Microsoft Intune Management Extension","ARP\Machine\X86\{4E28B4C2-BF17-4C61-B77B-B1673C292021}"
"classroom.cloud Student","ARP\Machine\X86\{4F1C9133-7549-41CA-A313-9A8A2EE088A8}"
"Sprint 2","ARP\Machine\X86\{50E6F022-0EDD-4EAF-BD1A-76C0E0EFE1AE}_is1"
"Sprint Viewer 2","ARP\Machine\X86\{50E6F462-0EDD-4EAF-CADA-76C0E0EFE1AE}_is1"
"Microsoft Edge","Microsoft.Edge"
"Jabbla Update Service","ARP\Machine\X86\{BAC5F7A1-A1C8-4760-AE21-05FE13121021}_is1"
"FineReader for Sprint","ARP\Machine\X86\{CEC72A7C-6CD4-43C0-935C-AFE4F9880743}_is1"
"HP Audio Center","MSIX\AD2F1837.HPAudioCenter_1.11.217.0_x64__v10z8vjag6ke6"
"Adobe Acrobat Reader","MSIX\AdobeAcrobatReaderCoreApp_24.0.0.1_x64__pc75e8sa7ep4e"
"AMD Radeon Software","MSIX\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.21.30024.0_x64__0a9344xs7nr4m"
"Intel? Graphics besturingscentrum","MSIX\AppUp.IntelGraphicsExperience_1.100.5688.0_x64__8j3eq9eme6ctt"
"Microsoft Clipchamp","MSIX\Clipchamp.Clipchamp_4.5.10220.0_x64__yxz26nhyzhsrt"
"Dolby Audio","MSIX\DolbyLaboratories.DolbyAudio_3.30201.210.0_x64__rz1tebttyb220"
"Lenovo Vantage","MSIX\E046963F.LenovoCompanion_10.2511.10.0_x64__k1h2ywk1493x8"
"ELAN Touchpad Setting","MSIX\ELANMicroelectronicsCorpo.ELANTouchpadSetting_11.2.63.0_x64__stws0m115j6hg"
"Microsoft Teams","Microsoft.Teams"
"AV1 Video Extension","MSIX\Microsoft.AV1VideoExtension_2.0.6.0_x64__8wekyb3d8bbwe"
"Video-extensie voor AVC-encoder","MSIX\Microsoft.AVCEncoderVideoExtension_1.1.23.0_x64__8wekyb3d8bbwe"
"Compatibiliteitsverbeteringen voor Windows-toepassingen","MSIX\Microsoft.ApplicationCompatibilityEnhancements_1.2511.9.0_x64__8wekyb3d8bbwe"
"Nieuws","MSIX\Microsoft.BingNews_4.56.242.0_x64__8wekyb3d8bbwe"
"Microsoft Bing","MSIX\Microsoft.BingSearch_1.1.40.0_x64__8wekyb3d8bbwe"
