#TYPE Selected.Microsoft.WinGet.Client.Engine.PSObjects.PSInstalledCatalogPackage
"Name","Id"
"Mozilla Firefox (nl)","Mozilla.Firefox.nl"
"Mozilla Maintenance Service","ARP\Machine\X64\MozillaMaintenanceService"
"Microsoft 365 Apps for enterprise","Microsoft.Office"
"Microsoft 365-apps voor ondernemingen - nl-nl","ARP\Machine\X64\O365ProPlusRetail - nl-nl"
"Safe Exam Browser","ETHZurich.SafeExamBrowser"
"Eclipse Temurin JRE with Hotspot 8","EclipseAdoptium.Temurin.8.JRE"
"Google Chrome","Google.Chrome"
"Microsoft Update Health Tools","ARP\Machine\X64\{C6FD611E-7EFE-488C-A0E0-974C09EF6473}"
"Windows Pc-statuscontrole","ARP\Machine\X64\{D1F16371-7951-41EB-A367-507D779F1E64}"
"Update for x64-based Windows Systems (KB5001716)","ARP\Machine\X64\{DA80A019-4C3B-4DAA-ACA1-6937D7CAAF9E}"
"Eclipse Temurin JRE with Hotspot 11","EclipseAdoptium.Temurin.11.JRE"
"Inkscape","Inkscape.Inkscape"
"K-Lite Codec Pack Full","CodecGuide.K-LiteCodecPack.Full"
"Realspeak Belgian Dutch","ARP\Machine\X86\RS4_Dub_is1"
"Realspeak British English","ARP\Machine\X86\RS4_Eng_is1"
"Realspeak French","ARP\Machine\X86\RS4_Frf_is1"
"Realspeak German","ARP\Machine\X86\RS4_Ged_is1"
"Microsoft Visual C++ v14 Redistributable (x86)","Microsoft.VCRedist.2015+.x86"
"PDF-XChange Editor","ARP\Machine\X86\{21177007-de9c-4f5b-84c9-151f690f72a0}"
"Microsoft Visual C++ v14 Redistributable (x64)","Microsoft.VCRedist.2015+.x64"
"Microsoft Intune Management Extension","ARP\Machine\X86\{4E28B4C2-BF17-4C61-B77B-B1673C292021}"
"classroom.cloud Student","ARP\Machine\X86\{4F1C9133-7549-41CA-A313-9A8A2EE088A8}"
"Sprint 2","ARP\Machine\X86\{50E6F022-0EDD-4EAF-BD1A-76C0E0EFE1AE}_is1"
"Sprint Viewer 2","ARP\Machine\X86\{50E6F462-0EDD-4EAF-CADA-76C0E0EFE1AE}_is1"
"Microsoft Edge","Microsoft.Edge"
"Jabbla Update Service","ARP\Machine\X86\{BAC5F7A1-A1C8-4760-AE21-05FE13121021}_is1"
"FineReader for Sprint","ARP\Machine\X86\{CEC72A7C-6CD4-43C0-935C-AFE4F9880743}_is1"
"HP Audio Center","MSIX\AD2F1837.HPAudioCenter_1.11.217.0_x64__v10z8vjag6ke6"
